0.1880,1.946863611642
0.1943,1.9137422244325
0.2009,1.8855500695812
0.2077,1.8616555176406
0.2147,1.8411780064731
0.2219,1.8234639184673
0.2294,1.8078247366996
0.2372,1.7939595914548
0.2452,1.7817621920048
0.2535,1.7708471491126
0.2620,1.7611577757128
0.2709,1.7523299116535
0.2800,1.7444486409465
0.2895,1.7372406934446
0.2992,1.7307735739801
0.3093,1.7248390071707
0.3198,1.7193931807742
0.3306,1.7144382639095
0.3417,1.7099215511588
0.3533,1.7057287029379
0.3652,1.7019021842298
0.3775,1.6983764104589
0.3903,1.6951019716404
0.4034,1.6921064817733
0.4171,1.6893027389035
0.4311,1.6867351575292
0.4457,1.6843322104173
0.4607,1.6821142657277
0.4763,1.6800393902033
0.4924,1.6781112511636
0.5090,1.6763185505996
0.5262,1.6746413717424
0.5439,1.6730807501436
0.5623,1.6716118445763
0.5813,1.670236790708
0.6009,1.6689486737706
0.6212,1.6677351385844
0.6422,1.6665913299787
0.6638,1.6655171334998
0.6862,1.6644978218682
0.7094,1.6635298746887
0.7334,1.6626096559866
0.7581,1.6617368737232
0.7837,1.6609007984149
0.8102,1.6600985405221
0.8375,1.659329834029
0.8658,1.6585860322206
0.8950,1.6578670060997
0.9252,1.657167475036
0.9564,1.6564848046739
0.9887,1.6558142944037
1.022,1.6551554578174
1.057,1.6544925693931
1.092,1.6538547404415
1.129,1.653202698358
1.167,1.6525521469396
1.207,1.6518837420382
1.247,1.6512280853307
1.290,1.6505334597696
1.333,1.6498457768129
1.378,1.6491300850732
1.425,1.6483835928611
1.473,1.6476191432515
1.522,1.6468336983669
1.574,1.6459916787744
1.627,1.645121715292
1.682,1.6442036899575
1.739,1.6432332703445
1.797,1.6422234222615
1.858,1.6411343750802
1.921,1.6399779775514
1.985,1.6387676949607
2.053,1.6374397415902
2.122,1.6360451245242
2.193,1.6345575148397
2.267,1.6329470487614
2.344,1.6312026669215
2.423,1.6293362685873
2.505,1.6273123673008
2.589,1.6251426448293
2.677,1.622759115999
2.767,1.6201978738146
2.861,1.6173816031314
2.957,1.6143474790837
3.057,1.6110064373268
3.160,1.6073597803203
3.267,1.6033352065427
3.377,1.598928014237
3.491,1.5940489932829
3.609,1.5886364174913
3.731,1.5826175475055
3.857,1.5759060249933
3.987,1.5683984821768
4.122,1.5599043420038
4.261,1.5503241861622
4.405,1.5393870934937
4.553,1.5269160517604
4.707,1.512403464422
4.866,1.4954856234414
5.030,1.4755729140484
5.200,1.4517118346222
